Cycle No.	Current
Cycle	A
384	1.31805419921875E-4
385	8.78906250000006E-6
385	1.3134765625E-4
386	8.48388671875005E-6
386	1.31256103515625E-4
387	8.60595703124994E-6
387	1.31072998046875E-4
388	8.66699218750003E-6
388	1.31134033203125E-4
389	8.81958007812503E-6
389	1.30889892578125E-4
390	8.697509765625E-6
390	1.30706787109375E-4
391	8.78906250000006E-6
391	1.30584716796875E-4
392	8.75854492187495E-6
392	1.30584716796875E-4
393	8.75854492187495E-6
393	1.30340576171875E-4
394	8.91113281249995E-6
394	1.302490234375E-4
395	8.697509765625E-6
395	1.30035400390625E-4
396	8.75854492187495E-6
396	1.2982177734375E-4
397	8.63647460937506E-6
397	1.29669189453125E-4
398	8.697509765625E-6
398	1.295166015625E-4
399	8.72802734374997E-6
399	1.29364013671875E-4
400	8.63647460937506E-6
400	1.2921142578125E-4
401	8.63647460937506E-6
401	1.29180908203125E-4
402	8.697509765625E-6
402	1.28662109375E-4
403	8.72802734374997E-6
403	1.2872314453125E-4
404	8.81958007812503E-6
404	1.285400390625E-4
405	8.60595703124994E-6
405	1.282958984375E-4
406	8.66699218750003E-6
406	1.2823486328125E-4
407	8.57543945312497E-6
407	1.2823486328125E-4
408	8.51440429687503E-6
408	1.2774658203125E-4
409	8.60595703124994E-6
409	1.27899169921875E-4
410	8.78906250000006E-6
410	1.27777099609375E-4
411	8.78906250000006E-6
411	1.27685546875E-4
412	8.697509765625E-6
412	1.2744140625E-4
413	8.75854492187495E-6
413	1.27349853515625E-4
414	8.63647460937506E-6
414	1.27349853515625E-4
415	8.60595703124994E-6
415	1.26983642578125E-4
416	8.72802734374997E-6
416	1.26708984375E-4
417	8.78906250000006E-6
417	1.26678466796875E-4
418	8.81958007812503E-6
418	1.26617431640625E-4
419	8.60595703124994E-6
419	1.2652587890625E-4
420	8.75854492187495E-6
420	1.263427734375E-4
421	8.75854492187495E-6
421	1.26220703125E-4
422	8.72802734374997E-6
422	1.25946044921875E-4
423	8.63647460937506E-6
423	1.25762939453125E-4
424	8.544921875E-6
424	1.25701904296875E-4
425	8.51440429687503E-6
425	1.25762939453125E-4
426	8.85009765625E-6
426	1.25579833984375E-4
427	8.78906250000006E-6
427	1.25396728515625E-4
428	8.72802734374997E-6
428	1.25213623046875E-4
429	8.85009765625E-6
429	1.25213623046875E-4
430	8.66699218750003E-6
430	1.2493896484375E-4
431	8.697509765625E-6
431	1.2481689453125E-4
432	8.60595703124994E-6
432	1.246337890625E-4
433	8.697509765625E-6
433	1.24542236328125E-4
434	8.66699218750003E-6
434	1.24420166015625E-4
435	8.51440429687503E-6
435	1.24237060546875E-4
436	8.544921875E-6
436	1.240234375E-4
437	8.57543945312497E-6
437	1.23931884765625E-4
438	8.48388671875005E-6
438	1.2384033203125E-4
439	8.75854492187495E-6
439	1.23992919921875E-4
440	8.88061523437497E-6
440	1.2384033203125E-4
441	8.57543945312497E-6
441	1.23626708984375E-4
442	8.66699218750003E-6
442	1.234130859375E-4
443	8.48388671875005E-6
443	1.23199462890625E-4
444	8.66699218750003E-6
444	1.23199462890625E-4
445	8.78906250000006E-6
445	1.2310791015625E-4
446	8.81958007812503E-6
446	1.2298583984375E-4
447	8.63647460937506E-6
447	1.22833251953125E-4
448	8.85009765625E-6
448	1.23046875E-4
449	8.63647460937506E-6
449	1.22467041015625E-4
450	8.75854492187495E-6
450	1.2255859375E-4
451	8.75854492187495E-6
451	1.221923828125E-4
452	8.60595703124994E-6
452	1.22222900390625E-4
453	8.57543945312497E-6
453	1.22039794921875E-4
454	8.66699218750003E-6
454	1.21917724609375E-4
455	8.63647460937506E-6
455	1.21978759765625E-4
456	8.544921875E-6
456	1.2164306640625E-4
457	8.57543945312497E-6
457	1.21551513671875E-4
458	8.75854492187495E-6
458	1.21368408203125E-4
459	8.66699218750003E-6
459	1.21337890625E-4
460	8.78906250000006E-6
460	1.21490478515625E-4
461	8.72802734374997E-6
461	1.21185302734375E-4
462	8.91113281249995E-6
