Voltage	Current	Scan No.
V	A	Scan
-0.13916015625	1.18438720703125E-6	1
-0.13671875	1.21246337890625E-6	1
-0.13427734375	1.097412109375E-6	1
-0.1318359375	1.0296630859375E-6	1
-0.12939453125	1.42364501953125E-6	1
-0.126953125	1.61041259765625E-6	1
-0.12451171875	1.3726806640625E-6	1
-0.1220703125	1.36688232421875E-6	1
-0.11962890625	1.41937255859375E-6	1
-0.1171875	1.4739990234375E-6	1
-0.11474609375	1.6009521484375E-6	1
-0.1123046875	1.39312744140625E-6	1
-0.10986328125	1.70989990234375E-6	1
-0.107421875	1.861572265625E-6	1
-0.10498046875	1.5130615234375E-6	1
-0.1025390625	1.79779052734375E-6	1
-0.10009765625	1.72607421875E-6	1
-0.09765625	1.6778564453125E-6	1
-0.09521484375	1.7303466796875E-6	1
-0.0927734375	1.53594970703125E-6	1
-0.09033203125	2.00592041015625E-6	1
-0.087890625	1.76666259765625E-6	1
-0.08544921875	1.55853271484375E-6	1
-0.0830078125	1.7120361328125E-6	1
-0.08056640625	1.94091796875E-6	1
-0.078125	1.93023681640625E-6	1
-0.07568359375	2.0947265625E-6	1
-0.0732421875	2.1820068359375E-6	1
-0.07080078125	2.1148681640625E-6	1
-0.068359375	2.11090087890625E-6	1
-0.06591796875	2.1795654296875E-6	1
-0.0634765625	2.3052978515625E-6	1
-0.06103515625	2.22869873046875E-6	1
-0.05859375	2.36419677734375E-6	1
-0.05615234375	2.12738037109375E-6	1
-0.0537109375	2.35809326171875E-6	1
-0.05126953125	2.46307373046875E-6	1
-0.048828125	2.45269775390625E-6	1
-0.04638671875	2.49481201171875E-6	1
-0.0439453125	2.37213134765625E-6	1
-0.04150390625	2.491455078125E-6	1
-0.0390625	2.37548828125E-6	1
-0.03662109375	2.43682861328125E-6	1
-0.0341796875	2.6031494140625E-6	1
-0.03173828125	2.44842529296875E-6	1
-0.029296875	2.6361083984375E-6	1
-0.02685546875	2.72064208984375E-6	1
-0.0244140625	2.54913330078125E-6	1
-0.02197265625	2.53326416015625E-6	1
-0.01953125	2.71636962890625E-6	1
-0.01708984375	2.70294189453125E-6	1
-0.0146484375	2.742919921875E-6	1
-0.01220703125	3.04290771484375E-6	1
-0.009765625	2.98492431640625E-6	1
-0.00732421875	2.94342041015625E-6	1
-0.0048828125	2.5665283203125E-6	1
-0.00244140625	2.7825927734375E-6	1
0	3.06396484375E-6	1
0.00244140625	2.9351806640625E-6	1
0.0048828125	2.5787353515625E-6	1
0.00732421875	2.98095703125E-6	1
0.009765625	3.23028564453125E-6	1
0.01220703125	2.894287109375E-6	1
0.0146484375	2.98553466796875E-6	1
0.01708984375	3.16375732421875E-6	1
0.01953125	3.22509765625E-6	1
0.02197265625	2.7862548828125E-6	1
0.0244140625	3.19061279296875E-6	1
0.02685546875	3.21258544921875E-6	1
0.029296875	3.36456298828125E-6	1
0.03173828125	3.06365966796875E-6	1
0.0341796875	3.179931640625E-6	1
0.03662109375	3.3843994140625E-6	1
0.0390625	3.34075927734375E-6	1
0.04150390625	3.16650390625E-6	1
0.0439453125	3.49884033203125E-6	1
0.04638671875	3.61785888671875E-6	1
0.048828125	3.3624267578125E-6	1
0.05126953125	3.6151123046875E-6	1
0.0537109375	3.76617431640625E-6	1
0.05615234375	3.70086669921875E-6	1
0.05859375	3.42437744140625E-6	1
0.06103515625	3.6602783203125E-6	1
0.0634765625	3.48724365234375E-6	1
0.06591796875	3.84979248046875E-6	1
0.068359375	3.57666015625E-6	1
0.07080078125	3.54095458984375E-6	1
0.0732421875	3.8433837890625E-6	1
0.07568359375	3.956298828125E-6	1
0.078125	3.7139892578125E-6	1
0.08056640625	3.9373779296875E-6	1
0.0830078125	3.865966796875E-6	1
0.08544921875	3.72528076171875E-6	1
0.087890625	4.00299072265625E-6	1
0.09033203125	3.86749267578125E-6	1
0.0927734375	3.973388671875E-6	1
0.09521484375	4.16290283203125E-6	1
0.09765625	4.1607666015625E-6	1
0.10009765625	4.17633056640625E-6	1
0.1025390625	4.2626953125E-6	1
0.10498046875	4.11376953125E-6	1
0.107421875	3.99383544921875E-6	1
0.10986328125	4.1864013671875E-6	1
0.1123046875	4.00543212890625E-6	1
