Voltage	Current	Upper Vertex
V	A	V
-0.595703125	-7.04345703125E-6	0.25 V
-0.59326171875	-6.9915771484375E-6	0.25 V
-0.5908203125	-6.7962646484375E-6	0.25 V
-0.58837890625	-6.6619873046875E-6	0.25 V
-0.5859375	-7.269287109375E-6	0.25 V
-0.58349609375	-6.634521484375E-6	0.25 V
-0.5810546875	-6.4666748046875E-6	0.25 V
-0.57861328125	-6.6619873046875E-6	0.25 V
-0.576171875	-6.3079833984375E-6	0.25 V
-0.57373046875	-6.2835693359375E-6	0.25 V
-0.5712890625	-6.298828125E-6	0.25 V
-0.56884765625	-6.5765380859375E-6	0.25 V
-0.56640625	-6.06689453125E-6	0.25 V
-0.56396484375	-6.2103271484375E-6	0.25 V
-0.5615234375	-5.8349609375E-6	0.25 V
-0.55908203125	-6.0546875E-6	0.25 V
-0.556640625	-6.036376953125E-6	0.25 V
-0.55419921875	-5.926513671875E-6	0.25 V
-0.5517578125	-5.7525634765625E-6	0.25 V
-0.54931640625	-5.889892578125E-6	0.25 V
-0.546875	-5.65185546875E-6	0.25 V
-0.54443359375	-5.5999755859375E-6	0.25 V
-0.5419921875	-5.87158203125E-6	0.25 V
-0.53955078125	-5.279541015625E-6	0.25 V
-0.537109375	-5.120849609375E-6	0.25 V
-0.53466796875	-5.4718017578125E-6	0.25 V
-0.5322265625	-5.3863525390625E-6	0.25 V
-0.52978515625	-5.078125E-6	0.25 V
-0.52734375	-5.419921875E-6	0.25 V
-0.52490234375	-5.047607421875E-6	0.25 V
-0.5224609375	-5.340576171875E-6	0.25 V
-0.52001953125	-5.3436279296875E-6	0.25 V
-0.517578125	-4.962158203125E-6	0.25 V
-0.51513671875	-4.9224853515625E-6	0.25 V
-0.5126953125	-5.31005859375E-6	0.25 V
-0.51025390625	-4.5196533203125E-6	0.25 V
-0.5078125	-4.6417236328125E-6	0.25 V
-0.50537109375	-4.730224609375E-6	0.25 V
-0.5029296875	-4.632568359375E-6	0.25 V
-0.50048828125	-4.4525146484375E-6	0.25 V
-0.498046875	-4.34326171875E-6	0.25 V
